"Server","TimeCreated","LogName","Source","Id","Level","Message"
"ASPOSTSQL1","7/22/2026 5:00:05 PM","Application","MSSQLSERVER","18270","Information","Database differential changes were backed up. Database: OCM_CAMRA, creation date(time): 2022/05/17(09:47:21), pages dumped: 105670, first LSN: 30108625:4701:1, last LSN: 30108625:4704:1, full backup LSN: 30108621:56571:1, number of dump devices: 1, device information: (FILE=1, TYPE=VIRTUAL_DEVICE: {'//yktasp2.isilon.sscdirect.com/IDERABackups/IIMHostedClients/ASPOSTSQL1/ASPOSTSQL1_OCM_CAMRA_Diff_202607221700.safe'}). This is an informational message. No user action is required."
"ASPOSTSQL1","7/22/2026 5:00:05 PM","Application","MSSQLSERVER","3014","Information","BACKUP DATABASE WITH DIFFERENTIAL successfully processed 105537 pages in 2.432 seconds (339.021 MB/sec)."
"ASPOSTSQL1","7/22/2026 6:00:05 PM","Application","MSSQLSERVER","18270","Information","Database differential changes were backed up. Database: OCM_CAMRA, creation date(time): 2022/05/17(09:47:21), pages dumped: 108486, first LSN: 30108625:10952:1, last LSN: 30108625:10955:1, full backup LSN: 30108621:56571:1, number of dump devices: 1, device information: (FILE=1, TYPE=VIRTUAL_DEVICE: {'//yktasp2.isilon.sscdirect.com/IDERABackups/IIMHostedClients/ASPOSTSQL1/ASPOSTSQL1_OCM_CAMRA_Diff_202607221800.safe'}). This is an informational message. No user action is required."
"ASPOSTSQL1","7/22/2026 6:00:05 PM","Application","MSSQLSERVER","3014","Information","BACKUP DATABASE WITH DIFFERENTIAL successfully processed 108265 pages in 2.618 seconds (323.076 MB/sec)."
"ASPOSTSQL1","7/22/2026 7:00:05 PM","Application","MSSQLSERVER","18270","Information","Database differential changes were backed up. Database: OCM_CAMRA, creation date(time): 2022/05/17(09:47:21), pages dumped: 112086, first LSN: 30108625:28640:10, last LSN: 30108625:28967:1, full backup LSN: 30108621:56571:1, number of dump devices: 1, device information: (FILE=1, TYPE=VIRTUAL_DEVICE: {'//yktasp2.isilon.sscdirect.com/IDERABackups/IIMHostedClients/ASPOSTSQL1/ASPOSTSQL1_OCM_CAMRA_Diff_202607221900.safe'}). This is an informational message. No user action is required."
"ASPOSTSQL1","7/22/2026 7:00:05 PM","Application","MSSQLSERVER","3014","Information","BACKUP DATABASE WITH DIFFERENTIAL successfully processed 111885 pages in 3.128 seconds (279.442 MB/sec)."
"ASPOSTSQL1","7/22/2026 8:00:06 PM","Application","MSSQLSERVER","18270","Information","Database differential changes were backed up. Database: OCM_CAMRA, creation date(time): 2022/05/17(09:47:21), pages dumped: 113350, first LSN: 30108625:61655:1, last LSN: 30108625:61658:1, full backup LSN: 30108621:56571:1, number of dump devices: 1, device information: (FILE=1, TYPE=VIRTUAL_DEVICE: {'//yktasp2.isilon.sscdirect.com/IDERABackups/IIMHostedClients/ASPOSTSQL1/ASPOSTSQL1_OCM_CAMRA_Diff_202607222000.safe'}). This is an informational message. No user action is required."
"ASPOSTSQL1","7/22/2026 8:00:06 PM","Application","MSSQLSERVER","3014","Information","BACKUP DATABASE WITH DIFFERENTIAL successfully processed 113217 pages in 3.762 seconds (235.114 MB/sec)."
"ASPOSTSQL1","7/22/2026 9:00:07 PM","Application","MSSQLSERVER","18270","Information","Database differential changes were backed up. Database: OCM_CAMRA, creation date(time): 2022/05/17(09:47:21), pages dumped: 158534, first LSN: 30108625:124318:1, last LSN: 30108625:124321:1, full backup LSN: 30108621:56571:1, number of dump devices: 1, device information: (FILE=1, TYPE=VIRTUAL_DEVICE: {'//yktasp2.isilon.sscdirect.com/IDERABackups/IIMHostedClients/ASPOSTSQL1/ASPOSTSQL1_OCM_CAMRA_Diff_202607222100.safe'}). This is an informational message. No user action is required."
"ASPOSTSQL1","7/22/2026 9:00:07 PM","Application","MSSQLSERVER","3014","Information","BACKUP DATABASE WITH DIFFERENTIAL successfully processed 158305 pages in 3.961 seconds (312.232 MB/sec)."
"ASPOTS4","7/22/2026 9:18:18 PM","Application","BAMMService","0","Information","Service stopped successfully."
"ASPOTS4","7/22/2026 9:18:24 PM","Application","BAMMService","0","Information","Service started successfully."
"ASPYKTOTSSQL2","7/22/2026 4:36:17 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 4:41:17 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 4:46:18 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 4:51:18 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 4:56:18 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 5:01:18 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 5:06:18 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 5:11:18 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
